0.8;1;0.9;:START_ID;:END_ID;:Type
;wxyryxqevkjomqangtxrfrgvadbfucgbncyopkadjaahgfgfjq;5.925895643224307e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;ndggeaoiyzmiihrawrmfscqajbkfsiblctasikocomjvfvpdyj;PyEdge
;yhyuydnujcrteijoadxwzmkdzhcpuhksqovlantgpamzkfijjh;8.169267428523156e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;ucymbpgfxuarkfrwldefomozlrnrmcigijhjnhmehymaaaurwr;PyEdge
1939014750.0;mhprrgvkucncgzfzakyfqsftjrraoycaueyjrpiqjwnxcwrcso;6.467899365882426e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;eltxwevixgaacqxjjffjbxgdvehrtvcacplllgelrypdtqhxdd;PyEdge
1714669735.0;wwnptnjjhdouhagufjsakfuqenzflazpszcooiassdatozfrxh;8.987203544545739e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;cafcbashfabvlnmgxsbjkkichuembyaevamyhmgbfyxsvrtabz;PyEdge
818355841.0;nxvkwkdtopqbxzsxjrvxkxabrfadqhcsclaukahlkkjvpgyunh;1.8926790717540675e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;gllqnesjmxoaaoaruchbimamerjklwqohzhkxqfijgynvnbtmf;PyEdge
216653056.0;tubapjlutkjnpmnxdxuxdonptyukbismtdybxmasgdquhhbfic;4.91716020107674e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;vvasvtwojfzgscdyadjdjzedufowtsfkcbaoksjmufakoqtzdn;PyEdge
;tsatznurcksgaofmxavbzfqxnhpjykyuspbnlkewmlljdsosax;1.5028131529013268e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;rermfspslyqdioaspevlyfckemnwhcealexfpieghmitnnlazb;PyEdge
701113136.0;ndduoejqwrytrtxuztjdbtadrltpecngjsamfeoigobobmaedz;7.994508348058036e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;nsvlmhlqevinoiasarufeupztmzaydqqgnnqawajgmlibadfpt;PyEdge
1112360309.0;ntuhocwtyjtzskzunizpvqjyxmbmwygnnfsdabvrrzgdzknvmf;7.422280853283493e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;izaztaxatalbrmqtiadnzljefvikjawnvaokffybngjevayudf;PyEdge
73279198.0;xakxaiktmuliyqduersepjamemykiilgxxrtnzlbhjafuyvsla;4.409611566102801e+18;sjpzksaptxaiiitiblbaamvayhenkxdrlunbrmsiyieqyfgmyq;nyuodvpwjknopryvnuxlnpibwvhyhebrftemvdflnytawdvwuo;PyEdge
442869700.0;rvetdmqvbthqymrljavxnfajvjzufijxualvkjqxtkctmlremr;3.442322905550921e+18;ufirtsinqoesrkpdearhawoksgwocilqzwrbgguxcavxdziehr;nnleitiivqjudizwfayuuzvumbobpsaknhxawtzmgqhndwnwub;PyEdge
254934436.0;qbbvbhfcaqndcxgockjfyoaojteuhhcicmaasizyykmbqlczka;7.993367698323821e+18;ufirtsinqoesrkpdearhawoksgwocilqzwrbgguxcavxdziehr;lxrbfecegnmwvygaflyiqghcriwctsphspvgadfzgaaxwiaypa;PyEdge
;iflalraygjhrhceryarduuuiiowfnxakzxplrtnhzbnwnjkfst;3.654850396388975e+18;ufirtsinqoesrkpdearhawoksgwocilqzwrbgguxcavxdziehr;mwnfaxdaufxkbeaxamcdachkqfoayoqhhtsljripofwbkfqmtu;PyEdge
